Title,Description,Campus,Research categories,Citizenship requirements,Preferred major(s),Desired experience,School/Dept.,Professor,More Info URL
Biophysical and analytical characterization of ligand interactions with MYC Promoter G-quadruplex DNA for anti-cancer drug development.,"The major focus of my research program is to characterize structures and functions of DNA G-quadruplexes. G-quadruplexes are non-canonical DNA secondary structures formed in specific regions of human genome with functional importance and have emerged as attractive anticancer drug targets. MYC, one of the most commonly deregulated genes in human cancers, has a DNA G4 motif in its promoter that functions as a transcriptional silencer. Compounds that bind to and stabilize the G-quadruplex formed in the MYC promoter have been shown to significantly lower MYC levels in cancer cells. Thus, the MYC promoter G-quadruplex (MycG4) represents a novel target for MYC inhibition by small molecules. Project Description. Biophysical characterization of ligand interactions with MYC Promoter G-quadruplex DNA for anti-cancer drug development. Expected Deliverables: 1) Measure binding affinity of G-quadruplex ligands to MycG4 DNA using fluorescence spectroscopy binding assay. 2) Measure effect of G-quadruplex ligands on MycG4 thermal stability using circular dichroism spectroscopy. 3) Record and organize the binding data and analyze the data in correlation with compound structures. Lorelei will work under the supervision of my graduate student, Jinho Jang and Rongxue Zhang.",West Lafayette,"Biological Characterization and Imaging, Biotechnology Data Insights, Medical Science and Technology",No citizenship requirements,,Chemistry major and related background and training; minimum 1 year lab experience.,Department of Medicinal Chemistry and Molecular Pharmacology,Danzhou Yang,
Building morphosyntactic networks for precision assessment and intervention,"The goal of this project is to better understand the factors that contribute to difficulty using grammar in development language disorder (DLD). DLD is a language disorder that affects approximately 7% of the population and persists into adulthood, resulting in lifelong risks for poor biomedical, educational, and professional outcomes at tremendous cost to individuals and society. This multidisciplinary project aims to combine the latest advances in syntactic network science and natural language processing to build a new type of syntactic network for precision identification and intervention of grammatical impairments in DLD. This work will advance the field’s understanding of how children acquire and mentally represent grammar in both healthy and disordered language development. Student will participate in coding / development of tools that parse child language samples that will be used to build network models. Student will work with a senior member of the lab (PhD student).",West Lafayette,"Big Data/Machine Learning, Medical Science and Technology, Other",No citizenship requirements,No Major Restriction,"Preferred qualifications include: proficiency in R and/or Python, exposure to or interest in learning about network science, completion of at least one introductory level linguistics class, interest in grammar","Speech, Language, and Hearing Sciences",Arielle Borovsky,
CISTAR: Deep Operator Networks for Secure and Efficient Chemical Engineering Application,"Deep operator learning aims to replace repeated partial differential equations (PDE) and ordinary differential equations (ODE) solves with a learned solution operator, a map from input functions (for example initial and boundary conditions, forcing, material fields) to output functions (the resulting state field). DeepONet is a canonical architecture for this setting, pairing a branch network that encodes the input function via sensor evaluations with a trunk network that encodes the query location, enabling approximation of nonlinear operators with good generalization from relatively small training sets. In chemical engineering, this is especially compelling for transport and reaction systems where classical simulation is accurate but too slow for many-query tasks (design, control, inference), and where stiffness is a dominant bottleneck. Recent work shows operator learning can surrogate stiff chemical kinetics propagators, using DeepONet variants to advance thermochemical states efficiently after offline training, with the explicit goal of accelerating reactive computational fluid dynamics (CFD) workflows. Motivated by industrial-scale surrogate modeling efforts that emphasize efficiency on modern GPU stacks, this project will develop operator networks that are both computationally efficient and deployment-safe for chemical engineering models governed by PDEs. The work plan centers on a rigorous data and evaluation pipeline, since recent editorial criticism has highlighted that claimed advantages of ML PDE surrogates depend strongly on realistic evaluation protocols and, often, much larger datasets. We will generate benchmark-quality training sets using established PDE data-generation practices and tooling and incorporate large, diverse simulation corpora where appropriate, including reaction–diffusion style systems. To improve “security” in the engineering sense of trustworthy decisions under uncertainty and limited high-fidelity data, we will pursue uncertainty-aware, multifidelity operator learning directions, and we will incorporate physics-inspired operator learning extensions to reduce sample complexity. This project is offered by the NSF engineering research center CISTAR. Students working on this project will also participate in information sessions, tours, and informal mentoring with CISTAR's partner companies. Participants will join STEM teachers to offer two outreach events in Indianapolis in July, to help kids get excited about careers in STEM.",West Lafayette,"Big Data/Machine Learning, Chemical Unit Operations, Fluid Modelling and Simulation",U.S. Citizen,Computer Science Chemical Engineering Computer Engineering,"Required:
•Experience with programming in the Python programming language or MATLAB
•Experience with machine learning libraries (e.g., scikit-learn, PyTorch, JAX)
•Course on differential equations
Preferred:
•Course on transport phenomena, fluid mechanics, or computational fluid dynamics",Davidson School of Chemical Engineering,David Bernal,https://engineering.purdue.edu/ChE/people/ptProfile?resource_id=286478
CISTAR: Design of stable zeolite catalysts for fuel and chemical production,"Zeolite catalysts are ubiquitous in the conversion of light hydrocarbons to useful chemical and transportation fuel products. However, protocols used to regenerate zeolite catalysts over repeated cycles leads to long-term structural changes that lead to irreversible catalyst deactivation. Recent work has shown that inorganic components and additives can be incorporated onto zeolite catalysts to stabilize them through the reaction and regeneration processes they encounter during operation. This project will work on developing post-synthetic modifications of zeolites to increase their structural stability, characterizing their surface and active site properties, and studying their catalytic reactivity and stability. This project is offered by the NSF engineering research center CISTAR. Students working on this project will also participate in information sessions, tours, and informal mentoring with CISTAR's partner companies. Participants will join STEM teachers to offer two outreach events in Indianapolis in July, to help kids get excited about careers in STEM.",West Lafayette,Chemical Catalysis and Synthesis,U.S. Citizen,Chemical Engineering Chemistry,,Davidson School of Chemical Engineering,Rajamani Gounder,https://sites.google.com/site/rgounder/
CISTAR: Examining how residual H2O (from CO2 conversion chemistry) influences methanol upgrading processes in zeolite catalysts,"Recent collaborative work between the Gounder and Hibbitts groups showed how to synthesize zeolite catalysts that manipulate the location of the active site (an acid) to influence reaction rates, selectivities, and stabilities. This work focuses on methylating aromatics using methanol, which is an attractive platform chemical as it can be made from CO2 or biomass resources. The reaction produces water, and water is often a byproduct of methanol production (e.g., via CO2 hydrogenation), so understanding how water influences this reaction is critical to understanding how to leverage renewably sourced methanol. Students will learn how to synthesize zeolite catalysts and measure their performance for aromatic methylation with and without water co-feeds. Our goal is to determine how water alters the reaction mechanism and the structure-function relationships we have developed at water-free conditions. Optionally, students may also learn how to use density functional theory (DFT) approaches to study these reactions computationally by calculating activation barriers and reaction energies for mechanisms with and without water present. This project is offered by the NSF engineering research center CISTAR. Students working on this project will also participate in information sessions, tours, and informal mentoring with CISTAR's partner companies. Participants will join STEM teachers to offer two outreach events in Indianapolis in July, to help kids get excited about careers in STEM.",West Lafayette,Chemical Catalysis and Synthesis,U.S. Citizen,Chemical Engineering Chemistry,"None, but reaction engineering is desirable.",Davidson School of Chemical Engineering,David Hibbitts,https://engineering.purdue.edu/ChE/people/ptProfile?resource_id=306454#research-interests-page
CISTAR: Gaining insights into polymer upcycling reactions using through model gas alkane hydrogenolysis,"Plastics recycling suffers from the low demand of many common plastic wastes, such as polyethylene (grocery bags) and polypropylene (food containers), leading to plastics in landfills and waterways that can even breakdown into harmful microplastics that invade ecosystems. One method of polyolefin upcycling is hydrogenolysis: reacting polymer melts with H2 over a metal catalyst at high temperatures and pressures to produce a mixture of fuels and chemicals. Alkane hydrogenolysis has been extensively studied for small gaseous alkanes (e.g., ethane and isobutane), but differs from polymer hydrogenolysis as the latter takes place on different catalysts, at lower temperatures, and in a liquid hydrocarbon environment (the polymer melt) that will significantly alter the catalyst surface and the reaction behavior. In this work, we will “bridge the gap” between gaseous alkane model studies and liquid polymer studies by studying reactions using the same alkane in different environments (gas or liquid) by varying the alkane partial pressure above its saturation pressure (leading to condensation). Students interested in experimental catalysis will learn how to synthesize and characterize supported-metal catalysts (Ru, Ir, and Pt), and measure the rates of alkane hydrogenolysis at varying reaction conditions. These kinetic studies will answer key questions about polymer reactions that cannot be directly observed in polymer upcycling studies. Students interested in computational catalysis studies will develop kinetic Monte Carlo (KMC) simulations that will predict how polymers react, over time, during upcycling studies using input from model alkane kinetics and density functional theory (DFT) predictions. This project is offered by the NSF engineering research center CISTAR. Students working on this project will also participate in information sessions, tours, and informal mentoring with CISTAR's partner companies. Participants will join STEM teachers to offer two outreach events in Indianapolis in July, to help kids get excited about careers in STEM.",West Lafayette,Chemical Catalysis and Synthesis,U.S. Citizen,Chemistry Chemical Engineering,"None, but reaction engineering is desirable.",Davidson School of Chemical Engineering,David Hibbitts,https://engineering.purdue.edu/ChE/people/ptProfile?resource_id=306454#research-interests-page
CISTAR: Modeling diffusion-limited reactions in zeolite crystals to advance crystallite development,"Zeolite pores are so small that many molecules struggle to diffuse within zeolite crystals, leading to diffusion-limitations that can alter reaction rates, selectivities, and accelerate catalyst deactivation. To alleviate these limitations, zeolite crystals are often synthesized to be very small, or to be hierarchical such as “pillared” or “finned” structures, or to have large mesopores that cut across the crystal to facilitate diffusion. These methods of zeolite crystal design focus on optimizing the distances that molecules must diffuse within zeolite pores to reach catalytic active sites. However, few kinetic models can account for these or adequately predict these diffusion effects, because most kinetic models that we use are designed for isotropic materials with simple shapes (i.e., slab or cylindrical models) that do not resemble these zeolite crystals. Here, students will run kinetic Monte Carlo (KMC) simulations that predict catalyst performance, as a function of time, and can describe things like the concentrations of reactive intermediates within the pores. These KMC simulations can then be applied to zeolite crystals with varying size, shape, hierarchical features, and mesoporosity to optimize the crystal habit based on desired criteria (reaction rate, or selectivity, or stability). As a probe reaction of these tools, students will examine methanol-to-olefins reactions, a critically important reaction for producing olefins, potentially from non-fossil resources, as methanol can be produced from CO2 or biomass. This project is offered by the NSF engineering research center CISTAR. Students working on this project will also participate in information sessions, tours, and informal mentoring with CISTAR's partner companies. Participants will join STEM teachers to offer two outreach events in Indianapolis in July, to help kids get excited about careers in STEM.",West Lafayette,Chemical Catalysis and Synthesis,U.S. Citizen,Chemical Engineering Chemistry,"None, but reaction engineering is desirable.",Davidson School of Chemical Engineering,David Hibbitts,https://engineering.purdue.edu/ChE/people/ptProfile?resource_id=306454#research-interests-page
CISTAR: Privacy-Preserving Machine Learning for Predicting Compressor Failures in Energy-Intensive Chemical Processes,"Compressors are among the most energy-intensive pieces of equipment in the chemical industry, often accounting for a large fraction of total electricity consumption in refineries, petrochemical plants, and gas processing facilities. When compressors operate inefficiently or fail unexpectedly, they not only cause costly downtime and safety risks but also lead to significant energy waste and increased carbon emissions. Improving compressor reliability and efficiency is therefore critical for reducing the energy footprint of the chemical industry. In this project, we propose using federated learning, a modern machine learning approach that enables collaborative model training without sharing raw industrial data, to predict compressor failures before they occur. Traditional machine learning methods require collecting large amounts of operational data in a centralized location, which is often impractical in industry due to data privacy, intellectual property concerns, and cybersecurity risks. Federated learning addresses this challenge by allowing each plant or company to train a local model on its own data and share only model updates rather than sensitive data itself. By learning from diverse compressor operating conditions across multiple sites while preserving data privacy, the federated model can identify early warning signs of mechanical degradation, abnormal energy consumption, and impending failure. The outcome of this research will be a scalable, privacy-preserving framework for predictive maintenance that reduces unplanned shutdowns, improves energy efficiency, and supports CISTAR’s mission of advancing sustainable and reliable energy systems for the chemical industry. Undergraduate researchers will gain hands-on experience at the intersection of energy systems, chemical engineering, and artificial intelligence, working on a real-world problem with direct impact on industrial sustainability and decarbonization. This project is offered by the NSF engineering research center CISTAR. Students working on this project will also participate in information sessions, tours, and informal mentoring with CISTAR's partner companies. Participants will join STEM teachers to offer two outreach events in Indianapolis in July, to help kids get excited about careers in STEM.",West Lafayette,Big Data/Machine Learning,U.S. Citizen,Chemical Engineering Industrial Engineering Electrical Engineering Computer Science,"Some experience with programming in Python. Knowing machine learning, mathematical modeling, and optimization is a plus.",Davidson School of Chemical Engineering,Can Li,https://cistar.us/
CISTAR: Synthesis of zeolite catalysts with tailored diffusion and reaction properties,"Olefin oligomerization is a key step in light hydrocarbon gas upgrading routes to heavier molecular weight products. Acidic zeolites are an important class of materials to catalyze oligomerization reactions, but reaction rates and selectivities are influenced by coupled reaction-transport phenomena, and by the distribution of active sites within different pores of the material. This project will focus on synthesizing zeolite crystallites with tailored diffusion properties (e.g., crystal size and morphology, acid site distributions) to influence the rates and selectivities of olefin oligomerization. This project is offered by the NSF engineering research center CISTAR. Students working on this project will also participate in information sessions, tours, and informal mentoring with CISTAR's partner companies. Participants will join STEM teachers to offer two outreach events in Indianapolis in July, to help kids get excited about careers in STEM.",West Lafayette,Chemical Catalysis and Synthesis,U.S. Citizen,Chemical Engineering Chemistry,,Davidson School of Chemical Engineering,Rajamani Gounder,https://sites.google.com/site/rgounder/
Cellular basis for fibrotic remodeling after injury in skeletal muscle,"In our lab, we investigate how various biological processes unfurl during wound healing after tissue injury, and how these processes can be improved using bioengineered therapies. For this research, we use a mouse model of mechanical injury to the skeletal muscle tissue, which results in either severe fibrosis if the injury is severe or scarless regeneration if the injury is minor. The SURF project will involve identification of various cellular players involved in the wound healing process, through training and implementation of immunofluorescence staining, imaging, flow cytometry, and quantitative analysis of tissue structural remodeling. Through this project, the student will develop experience in regenerative therapies, cellular bioengineering, and extracellular matrix remodeling.",West Lafayette,"Biological Characterization and Imaging, Cellular Biology, Medical Science and Technology",No citizenship requirements,Biomedical Engineering Cell Molecular and Developmental Biology Biological Engineering - multiple concentrations Biochemistry (Biology),"Strong background in biochemistry, bioengineering, cellular and molecular biology, tissue engineering, and /or developmental biology is preferred. Prior experience in a biomedical engineering or cell and molecular biology wet lab environment is preferred, but not required.",Weldon School of Biomedical Engineering,Taimoor Qazi,www.qazi-lab.com
Characterize behavioral differences of infant Fmr1 KO rats across sleep and wake,"This project will introduce an undergraduate student to quantitative behavioral analysis in a cutting-edge neuroscience context. The student will contribute to an ongoing Simons Foundation–funded study investigating how early sleep and movement patterns differ between Fmr1 knock-out (FXS model) and wild-type rats, and how these differences shape the development of cortical and brainstem motor circuits. A key component of this work involves analyzing high-speed video recordings of infant rats across sleep–wake states to characterize spontaneous twitches and wake movements—behaviors that provide crucial sensory input to the developing motor system. The student’s primary role will be to use DeepLabCut, an open-source machine learning toolkit for markerless pose estimation, to track the kinematics of limb and body movements from neonatal rat videos. They will assist in generating training datasets, refining labeling accuracy, and running trained networks to extract movement trajectories. Through this process, the student will gain hands-on experience with machine learning pipelines, data curation, video analysis, and reproducible research practices in Python. They will also develop skills in behavioral quantification, dataset management, and interpreting movement features in the context of early brain development. By producing high-quality movement-tracking datasets, the student will play an essential role in evaluating how knocking out Fmr1 alters the developmental organization of sleep-related and wake-related movements—key behavioral readouts that inform downstream neural analyses in motor cortex and red nucleus.",West Lafayette,"Biological Characterization and Imaging, Cellular Biology, Genetics, Medical Science and Technology",No citizenship requirements,No Major Restriction,"Comfort working with and handling laboratory rats (infant and juvenile).

Basic experience with Python; familiarity with scientific libraries (NumPy, Pandas, Jupyter) is helpful.

Attention to detail and willingness to perform careful frame-by-frame behavioral scoring.

Interest in developmental neuroscience, sleep, or computational methods.",Biological Sciences,James Dooley,www.dooleylab.com
Characterizing multi-scale viscoelasticity in de novo pericellular matrix of chondrocyte-seeded hydrogels,"In this EMBRIO-related project, the participant will be analyzing load-displacement curves from different mechanical loading systems to evaluate the mechanical behavior and estimate the viscoelastic properties of cells within their pericellular environment. The participant will learn to culture chondrocytes, which are cells that derive from cartilage, and seed them into hydrogels for aseptic cell culture. The participant will learn about multiple mechanical testing systems including benchtop materials characterization using digital image correlation and atomic force microscopy. The participant will learn and apply mathematical concepts related to the relationship between stress and strain in a material, or the constitutive relationship, including for elastic and viscoelastic materials. They will use computational tools to estimate best fits for the parameters that define these relationships and enable comparison of different experimental conditions that may alter the biomechanical behavior of chondrocytes and the components that it synthesizes around them.",West Lafayette,Biological Characterization and Imaging,No citizenship requirements,Biomedical Engineering Mechanical Engineering Biological Engineering - multiple concentrations,"Engineering design, Mechanics of materials, Computing and coding for engineers, Differential equations and linear algebra",Weldon School of Biomedical Engineering,Deva Chan,engineering.purdue.edu/ChanLab
Characterizing the injectability and rheological behavior of biomaterials for tissue repair,"Injectable hydrogels permit minimally invasive delivery of therapies for tissue repair and regeneration. Granular hydrogels are an emerging class of injectable biomaterials that have many attractive features including inherent porosity, tunable mechanics, and modular design. Granular hydrogels are assembled through the packing of hydrogel microparticles. Microparticle properties play a consequential role in determining overall hydrogel properties. In this SURF project, the goal is to use a microfluidics approach to create microparticles with varying features including size and shape, and investigating how changes in these features impact hydrogel porosity and rheological behavior. The student will perform hydrogel fabrication using microfluidic devices and characterization of porosity, rheological behavior and mechanics. The student will learn how to use soft lithography to make microfluidic devices, how to operate these devices to make microparticles, and how to process and characterize the properties of these biomaterials.",West Lafayette,"Biological Characterization and Imaging, Cardiovascular Disease Research, Cellular Biology, Composite Materials and Alloys, Fabrication and Robotics, Material Modeling and Simulation, Material Processing and Characterization",No citizenship requirements,No Major Restriction,"Prior experience in materials characterization, fabrication, biological testing, and knowledge of biomechanics, mechanical properties of materials etc. is preferred but not required.",Weldon School of Biomedical Engineering,Taimoor Qazi,www.qazi-lab.com
Controlled drug delivery for tissue repair,"This project will develop biomaterials for controlled delivery of drugs for tissue repair applications. The student will gain skills and learn techniques in hydrogel synthesis and fabrication, microfluidics, drug encapsulation and measurement of release kinetics, and testing of drug bioactivity using in vitro tests. For more information, visit our website: www.qazi-lab.com",West Lafayette,"Biological Characterization and Imaging, Biological Simulation and Technology, Cardiovascular Disease Research, Cellular Biology, Composite Materials and Alloys, Material Processing and Characterization, Medical Science and Technology",No citizenship requirements,No Major Restriction,"Prior wet lab experience in materials fabrication, testing, cell culture, or animal experimentation is preferred but not required.",Weldon School of Biomedical Engineering,Taimoor Qazi,www.qazi-lab.com
Convolutional Neural Network for Thermal Image Analysis,"Combustion processes are central to energy production and propulsion systems, but their complex flame dynamics (governed by interactions of temperature, flow fields, and emissivity) make detailed analysis challenging. Advances in high-resolution thermal and optical imaging now enable precise measurements of flame characteristics, yet manual interpretation of this data remains slow, subjective, and limited in scalability. Deep learning offers a way to automate and accelerate this analysis by identifying key patterns and features that describe combustion behavior. This project focuses on developing a Convolutional Neural Network (CNN) capable of analyzing both raw optical and thermal flame images to automatically extract and quantify combustion-relevant features. Building on recent work applying neural networks to flame diagnostics, the project aims to design and implement an image-analysis model that improves classification accuracy and physical interpretability. In this project, the student will participate in dataset exploration, model architecture design, and training of CNNs using labeled experimental thermal imaging data. The student will evaluate model performance a testing dataset, visualize feature activations, and refine processing pipelines for thermal image analysis. Through this work, the student will gain hands-on experience with machine learning for scientific imaging, including data handling, neural network implementation in Python, and performance benchmarking. They will also develop an understanding of how AI can support combustion diagnostics by reducing human effort and improving reliability. By the end of the project, the student will have contributed to the development of an AI-enabled diagnostic tool for combustion research, while gaining practical skills in deep learning, image analysis, and scientific computing applicable across engineering and applied sciences.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Material Processing and Characterization, Thermal Technology",U.S. Citizen,Computer Science Materials Engineering Aeronautical and Astronautical Engineering Mechanical Engineering Engineering (First Year) Computer Engineering,"▪ Be available to work in person over the summer. ▪ Have experience with Python, or similar programming tools for data analysis or computational tasks. ▪ Be comfortable learning new software tools and working with structured input/output data. ▪ Have interest in workflow automation, scientific computing, or engineering simulations. ▪ Be able to document results clearly and communicate findings effectively.",School of Materials Engineering,Alejandro Strachan,https://www.strachanlab.org/
Damping Characteristics of Additively Manufactured Tennis Racket Handle Pallets,"Tennis players are very particular about their racket, spending time and energy customizing every aspect of it to best suit their needs. Previous literature has found vibration through the handle to be one of the key contributors to preferences amongst tennis players. One aspect of racket that can be altered is the size of the grip which is done by changing a part called the pallet. While pallets of varying sizes can be purchased from manufacturers, an additively manufactured pallet presents a unique opportunity to provide customized fit and tuned vibration at the same time. Within this project you would work to create a model, perform simulations, manufacture and test prototypes. Throughout this project you will have the opportunity to use CAD software, simulation software, and multiple 3D printing technologies (FDM, SLA).",West Lafayette,"Human Factors, Other",No citizenship requirements,No Major Restriction Mechanical Engineering Materials Engineering,"MATLAB/Python, CAD",School of Materials Engineering,Jan-Anders Mansson,https://engineering.purdue.edu/Engr/Ewry
Deformation in alloys and high entropy alloys,"We invite participation in a research project focused on advancing predictive modeling of deformation mechanisms in next-generation Ni-based superalloys. This project leverages Phase Field Dislocation Dynamics (PFDD) to capture dislocation–precipitate interactions with significantly improved physical fidelity compared to traditional models. Participants will investigate: •	The formation and evolution of extended dislocations in both matrix and precipitate phases •	Dislocation–precipitate interactions and precipitate shearing mechanisms •	The development of planar faults within precipitates This work aims to deliver mechanistic insight and predictive capability for strengthening in complex alloy systems, supporting the design of higher-performance materials for extreme environments.",West Lafayette,Material Modeling and Simulation,No citizenship requirements,No Major Restriction,Familiar with FEM and/or other computer simulations,School of Mechanical Engineering,Marisol Koslowski,https://koslowskigroup.org
Detection of protein biomarkers for disease diagnosis,": Nearly half of the world’s population is at risk for malaria according to the World Health Organization (WHO). However, the disease burden is unevenly distributed with approximately 75% of malaria cases and malaria-related deaths occurring in sub-Saharan Africa. Mothers and infants (i.e., pregnant/lactating women and children under 5) are at highest risk for severe malaria and death. To protect them, a population’s reservoir of infection needs to be addressed, including symptomatic and non-symptomatic carriers. Two of the largest barriers to a large-scale population screening is the invasiveness of blood draw or finger prick, and the vanishing low concentration of malaria biomarkers in non-invasive samples (e.g. saliva and urine). To address these challenges, simultaneous multi-factor detection (detecting protein and nucleic acid biomarkers in the same sample) has the potential to increase specificity and sensitivity of disease detection by leveraging signal amplifications from both biomarker types. Ideally these testing platforms would have broad applications and have the potential to be manufactured in handheld and portable formats for use in low resource settings or at the point-of-need. Our group is poised to develop a technology platform that can address the barriers. We have previously achieved highly sensitive detection of malaria (3 parasite/µL of blood) from patient samples with 89% sensitivity and 100% specificity when compared to quantitative polymerase chain reaction (qPCR) (Colbert et al., 2021). In more recent work, we have used PD to detect protein-protein interactions for fundamental studies of protein binding kinetics (Ma et al., 2024, 2022), demonstrating the versatility of PD as a sensing modality. We have also demonstrated that PD-based pathogen detection can be performed on a hand-held portable system (Colbert et al., 2021). In this application we propose to use particle diffusometry (PD) and optimize test conditions and PD detection algorithms for simultaneous multi-factor (nucleic acid and protein) pathogen detection. We will exploit relative changes in both particle size and solution viscosity in a dual use platform, which is expected to significantly increase the sensitivity of detection. We will demonstrate detection of Plasmodium falciparum (Pf) in blood, plasma, and saliva at levels consistent with asymptomatic carriers of the malarial pathogen. An advantage of our PD platform is that the principles that we establish in this work for malaria biomarker detection platform can be easily adapted for detection of other infectious diseases. Additionally, the protein detection technology can be extended into applications beyond rapid point-of-care (POC) diagnostics, such as sensing protein aggregation of biopharmaceuticals at the point-of-production, point-of-testing for produce freshness or point-of-injury for emergency care personnel.",West Lafayette,"Biological Characterization and Imaging, Biological Simulation and Technology",No citizenship requirements,No Major Restriction Biochemistry (Chemistry) Biomedical Engineering Biological Engineering - multiple concentrations Chemical Engineering Biochemistry Biochemistry (Biology),"Technical and laboratory skills: Student(s) chosen for this project will be working on assay development; optimizing assay design, testing various parameters (antibody, proteins, concentrations, wash conditions, etc); using a widefield microscope to capture microscopic images of prepared samples; and use ImageJ software for analyzing microscope images for quantification methods. Basic coding skills may be necessary as well.
Qualifications and performance expectations: Students(s) must demonstrate intellectual curiosity and persistence in experimental inquiry; have a strong foundation in cell and molecular biology; and exhibit attention to detail in organized notetaking, critical thinking, and quantitative reasoning in both experimental design and data interpretation.  Attendance is expected for weekly laboratory meetings to discuss research progress and receive feedback for areas of improvement.  Clear communication of program requirements, experiment handling, and mentoring needs are strongly encouraged.
Expected outcomes for student development: Through this project, student(s) will be able to: 
Laboratory skills - (1) assay development and troubleshooting; (2) learn the concepts of protein-protein binding; (3) learn DNA amplification techniques; (4) obtain imaging data on a fluorescent microscope; (5) and perform image quantification and statistical analysis for gather generated 
Individual development – (1) Technical writing skills; (2) critical thinking and results interpretation; (3) experimental design validation; (4) teamworking skills on collaborative project; and (5) professional presentation skills (oral and poster)",Weldon School of Biomedical Engineering,Tamara Kinzer-Ursem,
Determining the Elastic Constants of Rock,"Rock often exhibits anisotropic mechanical properties that arise from layering, foliation or preferred mineral orientation that develops during rock formation.  Designing subsurface infrastructure in rock requires knowledge of the elastic constants of rock.  In this study, research will determine how rock mineralogy and structure affect the mechanical properties of the rock.  The student will  (1) use 3D X-ray imaging  to identify the mineralogy and structure of rock samples; (2) perform two types of ultrasonic measurements to measure elastic wave speeds;  (3) determine the elastic constants of rock samples by fitting the arrival times to the Christoffel equation, and (4) examine the variability of elastic constants for rocks from different subsurface locations.",West Lafayette,"Energy and Environment, Environmental Characterization, Material Processing and Characterization",No citizenship requirements,No Major Restriction,Previous laboratory experiments,Physics and Astronomy,Laura Pyrak-Nolte,
Development and application of nuclear techniques and machine learning in human health,"Dr. Nie’s group focuses on developing radiation-based instruments and methodologies for applications in human health. Students in her lab work on projects that advance neutron and X-ray technologies for measuring metals and trace elements in human bones and tissues in vivo. They also participate in high-resolution mapping of elemental concentrations and speciation in human and animal brains using state-of-the-art synchrotron facilities. These innovative approaches are applied to study metal exposure and its impact on health, the relationship between nutrition and health, and the links between metal exposure and neurodegeneration. As part of their research, students engage in Monte Carlo simulations, laboratory experiments, and data analysis. A new research direction involves leveraging artificial intelligence, particularly machine learning, to detect metal deposition patterns in healthy and neurodegenerative brains and to explore the connections between metal exposure, brain metal accumulation, and neurodegeneration. Student can select to work on: make standards for elemental quantification, conduct Monte Carlo simulations on radiation transportation, radiation instrumentation design and development, perform experiments with the neutron generator, x-ray devices, and radiation detectors available in Dr. Nie’s lab, conduct experiments at the advanced photon source (APS) synchrotron facility at Argonne National Lab, x-ray and gamma ray spectroscopy, spectral fitting, statistical data analysis, and machine learning applications.",West Lafayette,"Big Data/Machine Learning, Other",No citizenship requirements,No Major Restriction Physics Radiological Health Sciences Computer Science Nuclear Engineering Biomedical Engineering,Analytical skills; programming; basic knowledge on radiation sciences; interest in human health.,Health Sciences,Linda Nie,
Development of DNA Nanomaterials for miRNA Delivery across the Blood-Brain Barrier,"This project is focused on addressing the challenge of treating and studying the brain-related diseases (Alzheimer's Disease, Parkinson's Disease) with DNA nano tetrahedra to deliver miRNA to control the protein expression level. DNA nanotechnology has a great promise in biomedical applications due to high biocompatibility, tunability, and relative stability. By now, our group has developed six nanostructures and started the in vitro delivery of miRNA with three different functionalization methods. The students are expected to contribute to the work of characterization of individual nanostructures for miRNA in vitro delivery, the influence of functionalization methods on the delivery, or the delivery of miRNA in new cells lines. The students will perform experimental work to make the nanostructures, use them to deliver miRNA, evaluate the results, and process them. The techniques expected to be learned and be used are gel electrophoresis, DNA nanomaterials assembly, cell tissue culture, PCR confocal microscopy, image processing, and statistics. If preferred, coarse-grain and atomistic simulations of DNA nanomaterials in solution and potentially interacting with the cellular surface is possible.",West Lafayette,"Biological Characterization and Imaging, Cellular Biology, Material Modeling and Simulation, Nanotechnology, Other",No citizenship requirements,Biomedical Engineering Biochemistry Chemistry Biology Biological Engineering - multiple concentrations Agricultural Engineering,"No prior experience is required; however former wet lab, gel electrophoresis, and cell culture experience are encouraged. If you prefer computational work, Python basic programming knowledge is encouraged",Weldon School of Biomedical Engineering,Tamara Kinzer-Ursem,https://engineering.purdue.edu/ursemlab/index.html
"Development of Sustainably Sourced, High Performance Materials","The oceans are home to a diverse collection of animals producing intriguing materials.  Mussels, barnacles, oysters, starfish, and kelp are examples of the organisms generating adhesive matrices for affixing themselves to the sea floor.  Our laboratory is characterizing these biological materials, designing mimics, and developing applications.  Mimics of these bioadhesives begin with the chemistry learned from characterization studies and incorporate the findings into new materials that can be produced on larger scales.  A recent emphasis is sustainability.  We are making new classes of sustainably sourced materials that are of high performance, low cost, and even can be carbon negative.  Future efforts are planned in areas including:  A) Using bulk proteins and inorganics to make mimics of the wet bonding cement from oysters and B) Using biobased and biomimetic adhesives for the basis of new plastic materials, such as systems like carbon fiber reinforced polymers, with all components sourced sustainably.",West Lafayette,"Advanced Packaging, Composite Materials and Alloys, Ecology and Sustainability, Material Processing and Characterization",No citizenship requirements,No Major Restriction,,Department of Chemistry,Jonathan Wilker,https://www.chem.purdue.edu/wilker/
